date,species,tag,lat,lon,length_cm,weight_kg,Quantity,Event,Boat,source,type,Water Temp
4/02/2017,BLUE MARLIN,B099679,-31.8833,115.0667,280,180,1,,,GFAA Tagging Program,tagged,
13/02/2017,BLUE MARLIN,B074411,-31.9667,115.1333,250,150,1,,,GFAA Tagging Program,tagged,
19/02/2017,BLUE MARLIN,B072418,-31.7333,114.95,,130,1,,,GFAA Tagging Program,tagged,
6/03/2017,BLUE MARLIN,B097342,-32.0667,115.1667,275,180,1,,,GFAA Tagging Program,tagged,
6/03/2017,STRIPED MARLIN,B097315,-31.9667,115.1833,200,120,1,,,GFAA Tagging Program,tagged,
6/03/2017,BLACK MARLIN,B097341,-32.1,115.2,264,150,1,,,GFAA Tagging Program,tagged,
18/02/2018,STRIPED MARLIN,B107798,-32.1167,114.8833,240,80,1,,,GFAA Tagging Program,tagged,
14/02/2021,BLUE MARLIN,A618116,-31.8833,115.1833,,200,1,,,GFAA Tagging Program,tagged,
14/02/2021,BLUE MARLIN,B119403,-31.8833,115.1833,250,150,1,,,GFAA Tagging Program,tagged,
14/02/2021,BLUE MARLIN,B096892,-31.8833,115.1667,240,180,1,,,GFAA Tagging Program,tagged,
6/04/2021,BLUE MARLIN,B152636,-31.7167,114.95,270,180,1,,,GFAA Tagging Program,tagged,
19/02/2022,BLUE MARLIN,A634421,-32.0667,115.2333,272,180,1,,,GFAA Tagging Program,tagged,
12/03/2022,BLUE MARLIN,,,,,,0,,,Facebook FSC Game,No fish,
29/12/2022,BLUE MARLIN,B128729,-32.0833,115.1833,255,150,1,,,GFAA Tagging Program,tagged,
25/02/2023,BLUE MARLIN,,,,,,0,Marlin Cup 2023,,Facebook Compleat,No fish,
26/02/2023,BLUE MARLIN,,,,,,0,Marlin Cup 2023,,Facebook Compleat,No fish,
4/03/2023,STRIPED MARLIN,B097350,-31.9333,115.35,200,60,1,,,GFAA Tagging Program,tagged,
6/03/2023,BLUE MARLIN,B097312,-31.9333,115.35,250,180,1,,,GFAA Tagging Program,tagged,
18/03/2023,BLUE MARLIN,,,,,,0,,,Facebook FSC Game,No fish,
21/03/2023,BLUE MARLIN,,,,,,1,,,Facebook FSC Game,Release,
6/01/2024,BLUE MARLIN,,,,,,1,,Depth Charger,Facebook PGFC,Release,
7/01/2024,BLUE MARLIN,,,,,,0,,,Facebook FSC Game,No fish,
20/01/2024,BLUE MARLIN,,,,,,1,,,Facebook FSC Game,Release,
1/02/2024,BLUE MARLIN,,,,,,1,,,Facebook FSC Game,Release,
16/02/2024,BLUE MARLIN,,,,,,1,,,Facebook FSC Game,Release,
17/02/2024,BLUE MARLIN,,,,,,4,Marlin Cup 2024,,Facebook Compleat,Release,
18/02/2024,BLUE MARLIN,,,,,,4,Marlin Cup 2024,,Facebook Compleat,Release,
2/03/2024,BLUE MARLIN,,,,,,0,Blue Marlin Classic 2024,,Facebook FSC Game,No fish,
3/03/2024,BLUE MARLIN,,,,,,1,Blue Marlin Classic 2024,,Facebook FSC Game,Release,
2/01/2025,BLUE MARLIN,,,,,,1,,,Facebook Compleat,Release,
11/01/2025,BLUE MARLIN,,,,,,1,,Game Time,Facebook FSC Game,Release,
