date,tag,catch_lat,catch_lon,catch_score,catch_bands,catch_bmean,peak_lat,peak_lon,peak_score,peak_bands,peak_bmean,offset_nm,offset_lat_nm,offset_lon_nm,catch_sst_C,peak_sst_C,diff_sst_C,catch_chl,peak_chl,diff_chl,catch_mld,peak_mld,diff_mld,catch_ssh,peak_ssh,diff_ssh,catch_cur_speed,peak_cur_speed,diff_cur_speed,catch_depth,peak_depth,diff_depth,catch_s_sst,peak_s_sst,catch_s_sst_front,peak_s_sst_front,catch_s_front_corridor,peak_s_front_corridor,catch_s_chl,peak_s_chl,catch_s_ssh,peak_s_ssh,catch_s_mld,peak_s_mld,catch_s_current,peak_s_current,catch_s_convergence,peak_s_convergence,catch_s_depth,peak_s_depth,catch_s_shelf_break,peak_s_shelf_break
2003-03-26,S158317,-32.0667,115.2333,0.833,5,0.715,-32.125,115.325,0.876,3,0.798,5.8,-3.5,4.7,22.78,22.53,-0.25,0.1459,0.1614,0.0155,41.0,58.3,17.3,0.3009,0.3049,0.004,0.0818,0.077,-0.0048,46,29,-17,0.997,1.0,0.522,0.679,0.997,1.0,0.999,0.87,0.645,0.652,0.741,0.653,0.321,0.273,0.227,0.039,1.0,1.0,0.176,0.14
2004-02-28,S78772,-31.9333,115.35,0.818,4,0.873,-31.975,115.275,0.851,5,0.78,4.6,-2.5,-3.8,22.61,22.62,0.01,0.168,0.1437,-0.0243,23.7,38.3,14.6,0.2628,0.2579,-0.0049,0.119,0.1392,0.0202,136,99,-37,1.0,1.0,0.934,0.925,1.0,1.0,0.996,0.997,0.829,0.811,0.934,0.821,0.343,0.204,0.053,0.004,1.0,1.0,0.091,0.173
2006-03-10,A417995,-32.0667,115.2333,0.885,6,0.85,-32.075,115.325,0.909,3,0.807,4.7,-0.5,4.7,23.05,22.78,-0.27,0.1459,0.173,0.0271,18.5,17.1,-1.4,0.4068,0.4093,0.0025,0.065,0.0452,-0.0198,46,44,-2,0.984,0.996,0.51,0.609,0.984,0.996,0.982,0.875,0.6,0.6,1.0,1.0,0.279,0.07,0.129,0.648,1.0,1.0,0.176,0.076
2007-03-13,A410342,-32.1,115.1667,0.846,5,0.584,-32.025,115.075,0.925,3,0.789,6.5,4.5,-4.7,23.12,23.01,-0.11,0.1497,0.1338,-0.0159,12.4,11.4,-1.0,0.3104,0.2936,-0.0168,0.3189,0.3604,0.0415,41,47,6,0.981,0.987,0.212,0.259,0.736,0.74,0.999,0.997,0.685,0.6,1.0,1.0,0.984,1.0,0.003,0.052,1.0,1.0,0.289,0.714
2011-02-09,B014581,-32.2667,115.1333,0.836,5,0.719,-32.225,115.225,0.867,5,0.795,5.3,2.5,4.7,23.97,24.12,0.15,0.1059,0.1287,0.0228,12.1,11.0,-1.1,0.4111,0.445,0.0339,0.5999,0.502,-0.0979,25,33,8,0.89,0.869,0.322,0.443,0.89,0.869,0.81,0.98,0.6,0.67,1.0,1.0,0.857,0.875,0.138,0.012,1.0,1.0,0.815,0.291
2011-02-26,A417992,-32.05,115.3167,0.748,4,0.723,-32.025,115.325,0.748,4,0.723,1.6,1.5,0.4,26.79,26.79,0.0,0.0969,0.0981,0.0012,10.5,10.5,0.0,0.5631,0.5625,-0.0006,0.1617,0.2032,0.0415,46,59,13,0.365,0.365,0.178,0.178,0.236,0.236,0.772,0.772,0.695,0.695,1.0,1.0,0.374,0.374,0.548,0.548,1.0,1.0,0.106,0.106
2011-03-04,B014335,-32.0833,115.1833,0.66,3,0.49,-32.025,115.275,0.917,4,0.875,5.8,3.5,4.7,26.13,26.18,0.05,0.117,0.1235,0.0065,15.4,16.3,0.9,0.4611,0.4761,0.015,0.2583,0.1741,-0.0842,42,52,10,0.485,0.479,0.028,0.277,0.214,0.479,0.935,0.966,0.634,0.703,1.0,1.0,0.482,0.277,0.007,0.134,1.0,1.0,0.289,0.136
2012-01-19,B014567,-31.9667,115.15,0.844,2,1.0,-32.025,115.125,0.876,3,0.867,3.7,-3.5,-1.3,23.38,23.41,0.03,0.075,0.0677,-0.0073,13.6,12.1,-1.5,0.4733,0.437,-0.0363,0.4628,0.5854,0.1226,83,44,-39,0.96,0.957,0.427,0.392,0.96,0.957,0.383,0.327,0.63,0.639,1.0,1.0,0.963,0.961,0.006,0.018,1.0,1.0,1.0,0.334
2012-01-28,B033190,-32.0,115.0,0.812,2,0.8,-31.925,115.025,0.909,3,0.682,4.7,4.5,1.3,23.71,23.85,0.14,0.1099,0.1081,-0.0018,11.9,12.2,0.3,0.419,0.4468,0.0278,0.3476,0.3756,0.028,48,62,14,0.924,0.906,0.349,0.368,0.924,0.906,0.866,0.849,0.6,0.6,1.0,1.0,0.963,0.966,1.0,1.0,1.0,1.0,0.463,0.251
2012-01-28,B033189,-32.0,115.0,0.812,2,0.8,-31.925,115.025,0.909,3,0.682,4.7,4.5,1.3,23.71,23.85,0.14,0.1099,0.1081,-0.0018,11.9,12.2,0.3,0.419,0.4468,0.0278,0.3476,0.3756,0.028,48,62,14,0.924,0.906,0.349,0.368,0.924,0.906,0.866,0.849,0.6,0.6,1.0,1.0,0.963,0.966,1.0,1.0,1.0,1.0,0.463,0.251
2012-02-12,B066316,-32.0667,115.05,0.789,2,0.475,-32.075,115.125,0.892,3,0.47,3.8,-0.5,3.8,23.35,23.38,0.03,0.1213,0.1221,0.0008,16.6,16.6,0.0,0.3113,0.3113,0.0,0.5297,0.5297,0.0,47,46,-1,0.962,0.959,0.254,0.297,0.721,0.959,0.953,0.962,0.6,0.6,1.0,1.0,0.932,0.931,0.0,0.0,1.0,1.0,0.951,0.631
2012-12-30,B053935,-32.1333,115.1,0.874,2,0.8,-32.125,115.075,0.874,2,0.8,1.4,0.5,-1.3,22.43,22.43,0.0,0.0966,0.1032,0.0066,10.5,10.5,0.0,0.2734,0.2734,0.0,0.9475,0.9475,0.0,41,40,-1,0.999,0.999,0.708,0.708,0.999,0.999,0.779,0.779,0.6,0.6,1.0,1.0,1.0,1.0,0.016,0.016,1.0,1.0,1.0,1.0
2013-02-23,B006318,-31.9667,115.2167,0.87,4,0.75,-31.925,115.275,0.901,5,0.694,3.9,2.5,3.0,23.41,23.28,-0.13,0.1048,0.1325,0.0277,21.5,23.5,2.0,0.3717,0.383,0.0113,0.5041,0.4367,-0.0674,98,133,35,0.957,0.969,0.758,0.969,0.957,0.969,0.818,0.991,0.6,0.728,0.984,0.976,0.968,0.984,0.058,0.006,1.0,1.0,1.0,0.086
2015-02-08,B096882,-31.9167,114.9833,0.827,4,0.9,-31.875,115.025,0.86,4,0.9,3.3,2.5,2.1,23.05,23.0,-0.05,0.1193,0.1186,-0.0007,13.4,13.4,0.0,0.2811,0.2811,0.0,0.298,0.298,0.0,55,122,67,0.985,0.988,0.4,0.938,0.985,0.988,0.935,0.945,0.668,0.717,1.0,1.0,0.993,0.994,0.029,0.143,1.0,1.0,0.315,0.443
