date,tag,type,lat,lon,score,bands,band_mean,sst_C,sst_score,sst_gradient,sst_front_score,front_corridor_score,chl_mgm3,chl_score,chl_curvature_score,ssh_m,ssh_score,mld_m,mld_score,current_speed_ms,current_dir_deg,current_score,convergence_score,divergence,sst_intrusion_score,depth_m,depth_score,shelf_break_score,nearest_zone_score
2013-02-23,B006318,tagged,-31.9667,115.2167,0.854,4,0.75,23.41,0.976,0.095,0.773,0.976,0.1048,0.818,0.747,0.3717,0.6,21.5,0.984,0.5041,175.1,0.989,0.058,0.0293,0.29,474,1.0,1.0,0.941
2015-02-08,B096882,tagged,-31.9167,114.9833,0.85,4,0.9,23.05,0.992,0.0721,0.402,0.992,0.1193,0.935,0.174,0.2811,0.668,13.4,1.0,0.298,165.2,1.0,0.029,0.00183,0.29,477,1.0,0.315,0.93
2015-02-24,B065642,tagged,-31.9667,115.1667,0.859,1,1.0,22.67,0.999,0.1635,0.83,0.999,0.1281,0.99,0.743,0.2579,0.821,11.6,1.0,0.3308,179.3,1.0,0.316,0.00061,0.29,968,1.0,1.0,0.953
2015-02-28,B072526,tagged,-31.9167,115.2167,0.853,4,0.775,22.84,0.997,0.1324,0.608,0.997,0.1314,0.992,0.826,0.3214,0.814,32.2,0.817,0.0926,185.7,0.695,0.025,0.02045,0.29,168,1.0,0.69,0.876
2015-03-02,B072533,tagged,-31.9667,115.2333,0.782,3,0.667,22.85,0.997,0.1304,0.594,0.997,0.1398,1.0,0.699,0.3095,0.877,43.0,0.665,0.0729,231.1,0.498,0.001,0.01495,0.29,202,1.0,1.0,0.905
2015-03-29,B042499,tagged,-32.0,115.2,0.775,3,1.0,23.03,0.992,0.04,0.296,0.992,0.1442,0.996,0.49,0.3568,0.6,34.9,0.839,0.2071,348.1,0.924,0.693,-0.01831,0.29,345,1.0,1.0,0.859
2015-04-03,B014328,tagged,-32.1,115.1667,0.664,2,0.5,22.82,0.997,0.0206,0.081,0.748,0.2086,0.717,0.094,0.4166,0.6,45.8,0.688,0.1495,191.5,0.761,0.29,0.00061,0.377,245,1.0,0.289,0.851
2016-01-16,B101755,tagged,-31.8833,115.0833,0.578,1,0.6,21.6,0.887,0.032,0.114,0.196,0.0987,0.756,0.24,0.2084,0.6,11.0,1.0,0.3898,171.7,0.89,1.0,-0.01465,0.29,401,1.0,0.819,0.846
2016-02-20,B096884,tagged,-31.9333,115.0667,0.851,2,1.0,22.08,0.972,0.0873,0.543,0.972,0.102,0.789,0.664,0.1956,0.604,19.4,1.0,0.3565,165.7,0.982,0.004,0.00977,0.29,987,1.0,1.0,0.895
2016-03-07,B097301,tagged,-32.1,115.2,0.861,3,0.667,21.93,0.951,0.0364,0.211,0.713,0.1599,0.976,0.197,0.235,0.6,14.6,1.0,0.4007,192.0,0.949,0.099,0.00519,0.29,183,1.0,0.289,0.894
2017-02-04,B099679,tagged,-31.8833,115.0667,0.82,2,0.8,21.87,0.941,0.1507,0.539,0.941,0.1661,0.941,0.305,0.2899,0.667,23.3,0.975,0.1242,166.6,0.613,0.029,0.00397,0.29,463,1.0,0.819,0.898
